,0,1
1204,52.0,37.83
1205,30.0,20.9
1206,30.0,18.91
1207,68.0,32.29
1208,63.0,26.12
1209,48.0,28.14
1210,68.0,25.14
1211,28.0,17.75
1212,42.0,21.33
1213,31.0,19.36
1214,86.0,35.33
1215,59.0,32.83
1216,50.0,26.62
1217,41.0,22.0
1218,37.0,21.56
1219,49.0,33.67
1220,60.0,36.83
1221,46.0,32.0
1222,55.0,24.29
1223,48.0,20.1
1224,67.0,63.67
1225,53.0,31.71
1226,41.0,33.5
1227,62.0,34.57
1228,95.0,67.0
1229,42.0,29.57
1230,39.0,25.25
1231,46.0,30.71
1232,66.0,38.0
1233,56.0,30.5
1234,48.0,30.75
1235,56.0,27.14
1236,62.0,17.7
1237,81.0,51.5
1238,63.0,51.0
1239,44.0,31.14
1240,67.0,27.67
1241,42.0,25.71
1242,39.0,20.18
1243,51.0,36.4
1244,21.0,14.07
1245,67.0,39.25
1246,46.0,23.12
1247,45.0,24.56
1248,68.0,29.0
1249,66.0,28.12
1250,77.0,42.0
1251,148.0,113.5
1252,42.0,30.5
1253,68.0,41.2
1254,54.0,38.0
1255,46.0,25.62
1256,54.0,35.2
1257,52.0,36.0
1258,41.0,21.56
1259,25.0,16.71
1260,71.0,33.67
1261,48.0,24.78
1262,59.0,30.43
1263,42.0,30.83
1264,37.0,20.0
1265,39.0,22.25
1266,44.0,23.86
1267,42.0,26.5
1268,51.0,31.43
1269,65.0,28.12
1270,40.0,20.82
1271,48.0,26.86
1272,27.0,17.83
1273,43.0,21.44
1274,61.0,27.67
1275,52.0,33.6
1276,31.0,21.3
1277,51.0,24.44
1278,79.0,43.0
1279,72.0,20.09
1280,64.0,42.0
1281,53.0,32.5
1282,40.0,18.36
1283,68.0,32.0
1284,48.0,24.71
1285,41.0,29.67
1286,86.0,38.17
1287,25.0,16.33
1288,37.0,25.71
1289,51.0,35.6
1290,56.0,29.14
1291,44.0,28.43
1292,55.0,30.86
1293,46.0,12.63
1294,70.0,40.8
1295,51.0,24.22
1296,53.0,34.2
1297,34.0,19.56
1298,66.0,35.67
1299,66.0,28.86
1300,40.0,34.0
1301,46.0,18.33
1302,40.0,20.0
1303,56.0,34.67
1304,43.0,23.22
1305,51.0,29.0
1306,37.0,22.12
1307,46.0,25.5
1308,56.0,27.38
1309,63.0,34.4
1310,63.0,37.8
1311,51.0,28.83
1312,54.0,32.33
1313,53.0,26.38
1314,38.0,30.43
1315,64.0,41.6
1316,38.0,24.86
1317,43.0,26.0
1318,39.0,27.17
1319,106.0,100.5
1320,51.0,27.43
1321,41.0,16.6
1322,45.0,18.36
1323,49.0,23.89
1324,32.0,18.23
1325,43.0,20.5
1326,34.0,13.71
1327,39.0,18.23
1328,37.0,18.73
1329,34.0,14.15
1330,42.0,22.5
1331,45.0,21.9
1332,53.0,26.11
1333,39.0,24.86
1334,49.0,34.8
1335,49.0,26.0
1336,38.0,28.17
1337,43.0,27.83
1338,43.0,31.0
1339,21.0,12.41
1340,71.0,47.0
1341,63.0,27.29
1342,43.0,23.89
1343,50.0,32.2
1344,48.0,21.5
1345,50.0,25.38
1346,32.0,23.89
1347,35.0,21.9
1348,57.0,34.17
1349,49.0,40.5
1350,70.0,34.5
1351,74.0,38.6
1352,32.0,23.43
1353,42.0,28.0
1354,59.0,21.0
1355,67.0,29.43
1356,83.0,55.67
1357,41.0,29.0
1358,64.0,45.25
1359,67.0,46.5
